PIB_2022,Utilisation_d_energie_2022
104399746853.401,15077983185.249107
19017244116.7203,2168649087.6087103
502731935194.01,83983089710.52017
632790070063.124,82142829846.18451
19513506553.1251,4001265883.252187
1690858246994.43,127200558899.39992
471773629830.381,31332640680.23373
78807470588.2353,17447023980.12833
593614574325.878,50610848380.62571
17425405083.8797,5171109200.344036
18820218690.5948,7043732683.6726055
460131689083.083,50327362185.91856
90509236929.2237,19189142065.539623
46458191489.3617,16316948504.824974
24534663636.1778,7277228432.21566
73775179924.603,26415233591.28744
44008282879.8842,9641110155.727684
1951923942083.32,300526296933.22394
16681536442.5498,4342887169.198509
20321150598.0672,2842839400.0191603
2190411080134.32,297170750931.5041
828508926958.393,22743551160.791367
301226575540.242,41408951944.206345
18316765021690.2,3799542060762.466
70922824824.0069,14339614980.414904
44347206072.5513,10613881723.512196
65801547755.6552,40026965701.72988
15817030156.9459,3787546574.949911
345632492851.448,40124796980.98852
69243626028.6698,5129406706.792859
3075180834.72417,866222413.2989545
30935566076.6788,2240302856.596966
301831228325.556,41590283748.925896
4163596357879.39,271231322250.88785
401945576107.963,15518606095.347492
113478087134.8,10674476927.4866
225638456572.143,68231823827.26758
116133121000.0,16125991210.471292
476747720364.742,101398466609.34502
1446498147749.03,115003773765.16908
38376046174.971,4799847138.626233
126772707851.339,47385449507.97827
280253099309.34,31569098117.8949
2796302210398.84,211165114168.3417
20440655695.229,5095442820.292436
3114042471144.39,153013614216.1097
24984568959.605,5730557944.014608
73919003209.9866,11906491831.470509
13687643435.6249,2315634852.3932714
218880566444.349,20463337154.86803
95641441234.943,15846039935.034204
358679533984.718,11506902646.41273
31426041806.7985,5999402885.258527
71198635101.9514,8308732205.980836
20253551920.5516,4342911053.788172
177536698164.902,25670894239.037365
1319101183380.15,260922398968.19
3346107287730.93,1015247038310.8992
548570250341.987,13545165759.05251
394362621793.035,292397152956.91656
287372232137.931,62209491735.93306
28696453180.1657,6057203592.2423935
525181008025.57,23858173306.582996
2104067630319.46,142320411770.32776
17097760686.7775,2750788191.4589205
48764963380.2817,8490661125.442008
4262463317796.53,392374390942.9695
225496328925.494,71369327409.95624
114448978152.637,29288024266.7436
12134931017.9465,4499116270.182547
39994532959.6074,8629143976.306623
1673916511799.71,279723392567.11993
183502046669.15,41901595490.59023
15468785203.7532,6161244864.813332
20992421948.8081,3547124295.404672
43246297921.8499,18342672207.89177
74143020262.8076,10512037833.19021
71033884499.7824,6875226903.601917
80801680397.0139,3184006878.761879
38014713595.7686,4236099168.8163514
130951926351.241,22509219451.610184
14525337523.7271,3597281933.696436
15325603272.6073,9395146651.380678
1466464899303.68,182604901117.80203
13932436550.0883,2712095156.205268
19239187083.5194,773430782.4591702
62253049891.6449,21476975255.56552
6229801580.79157,1043971529.5691396
17146471713.748,6491950893.283755
18883528581.3734,11711760771.950089
12907767789.5967,1383395433.26648
407605841348.235,99475327218.88013
12569449123.3661,2000979268.1762092
15433852714.4935,4101700582.784053
477403400101.174,74322800229.29329
15634572502.2294,4093890321.964337
1046540797548.64,63294974682.33603
596297651035.798,25265023406.898315
41182939600.6209,15450558899.398386
249509991440.438,19085984522.786182
109852795838.752,27753749880.57752
374890295666.694,114715630075.47708
76276116700.0,4676698194.325082
246065570308.155,27674333619.94889
404353369604.631,62770851246.77655
695607522884.822,103227667908.66711
256898675068.927,20331804719.595303
41952910858.088,7064583930.4481945
235709325714.286,44334049871.024025
296354358293.475,31540245533.58228
2291612121334.64,807883228241.1523
13316161005.7244,5091716824.305034
1239075200000.0,242266599789.82004
51666875363.0963,20335100792.968704
27783332222.6759,5577147224.610781
509017841146.557,37375656826.21639
31870120000.0,4827577147.22469
66797564758.339,16269250979.268478
3791603200.0259,1083787140.536942
115884262197.697,16771854399.541708
59927702746.2843,6418672972.198444
579895717343.956,45372408522.02238
4741163884.9523,1168840164.326
23622827079.5047,10209778351.0081
17828508289.6049,3664206553.93146
8169476148.95692,3866795643.450909
495644697587.661,133234785516.3868
10713525200.3998,3820340116.556855
58972000000.0,40674500812.07667
28510328245.1372,15076311263.97264
44948769171.285,11586581637.5277
907118434653.505,156495294735.83902
75769974505.0106,26217755803.95569
45565333216.4142,22843603706.88872
161989520721.19,61284561001.24308
70594110920.0358,5513829177.414819
26006893000000.0,2172988487627.8208
90095926567.4359,48278804815.13393
413445230668.578,101979005445.68828
406920004594.074,123297721410.14777
29163782140.4858,16135951084.360592
32789657377.9788,6694157829.368609
